sk_data,sk_cliente,sk_produto,vl_vendas,qt_vendas,vl_total
2025-01-02T00:00:00.000,2,10,3061.12,2,6122.24
2025-01-31T00:00:00.000,17,7,1812.62,1,1812.62
2025-01-22T00:00:00.000,4,2,2857.94,1,2857.94
2025-01-28T00:00:00.000,1,1,9520.14,2,19040.28
2025-01-05T00:00:00.000,8,3,6654.52,2,13309.04
2023-01-25T00:00:00.000,21,5,296.10,2,592.20
2024-01-02T00:00:00.000,12,2,4702.68,2,9405.36
2024-01-20T00:00:00.000,10,6,1766.67,3,5300.01
2024-01-06T00:00:00.000,7,3,6761.50,2,13523.00
2024-01-16T00:00:00.000,19,10,1304.23,1,1304.23
2026-01-23T00:00:00.000,28,8,816.46,2,1632.92
2023-01-06T00:00:00.000,19,3,12779.94,3,38339.82
2026-01-10T00:00:00.000,28,8,853.64,2,1707.28
2026-01-10T00:00:00.000,7,2,8856.63,3,26569.89
2025-01-17T00:00:00.000,4,7,3616.34,2,7232.68
2025-01-03T00:00:00.000,17,10,1489.82,1,1489.82
2025-01-08T00:00:00.000,9,7,3585.08,2,7170.16
2025-01-27T00:00:00.000,9,1,6115.47,1,6115.47
2025-01-12T00:00:00.000,4,6,1129.64,2,2259.28
2026-01-13T00:00:00.000,11,4,2733.16,2,5466.32
2026-01-17T00:00:00.000,28,9,670.89,1,670.89
2025-01-10T00:00:00.000,12,10,1222.96,1,1222.96
2025-01-23T00:00:00.000,3,4,1502.48,1,1502.48
2025-01-08T00:00:00.000,10,2,4921.82,2,9843.64
2025-01-28T00:00:00.000,14,2,7519.26,3,22557.78
2025-01-09T00:00:00.000,29,8,446.30,1,446.30
2025-01-07T00:00:00.000,29,1,16419.60,3,49258.80
2026-01-09T00:00:00.000,23,5,280.16,2,560.32
2024-01-08T00:00:00.000,19,2,8262.57,3,24787.71
2024-01-20T00:00:00.000,15,7,3574.56,2,7149.12
2026-01-26T00:00:00.000,26,4,1627.40,1,1627.40
2025-01-19T00:00:00.000,17,2,5065.54,2,10131.08
2025-01-08T00:00:00.000,3,8,1061.10,3,3183.30
2026-01-18T00:00:00.000,20,7,5503.26,3,16509.78
2026-01-27T00:00:00.000,5,6,1342.29,3,4026.87
2025-01-21T00:00:00.000,18,10,3057.78,2,6115.56
2026-01-12T00:00:00.000,9,6,999.42,2,1998.84
2025-01-13T00:00:00.000,25,2,7284.69,3,21854.07
2026-01-26T00:00:00.000,28,1,5970.99,1,5970.99
2026-01-11T00:00:00.000,4,10,1534.08,1,1534.08
2025-01-25T00:00:00.000,24,8,358.60,1,358.60
2026-01-20T00:00:00.000,20,1,17773.44,3,53320.32
2025-01-05T00:00:00.000,27,6,1496.73,3,4490.19
2024-01-14T00:00:00.000,24,4,3548.78,2,7097.56
2024-01-09T00:00:00.000,10,1,5889.07,1,5889.07
2025-01-27T00:00:00.000,8,4,1336.20,1,1336.20
2025-01-15T00:00:00.000,12,8,874.16,2,1748.32
2026-01-26T00:00:00.000,26,3,10663.11,3,31989.33
2025-01-12T00:00:00.000,25,8,339.86,1,339.86
2026-01-26T00:00:00.000,14,5,145.25,1,145.25
2025-01-09T00:00:00.000,27,1,15078.90,3,45236.70
2024-01-23T00:00:00.000,8,7,5095.38,3,15286.14
2025-01-20T00:00:00.000,30,8,735.26,2,1470.52
2026-01-08T00:00:00.000,16,7,5212.83,3,15638.49
2024-01-17T00:00:00.000,30,4,5275.44,3,15826.32
2025-01-11T00:00:00.000,17,8,1314.54,3,3943.62
2024-01-14T00:00:00.000,17,3,10843.26,3,32529.78
2026-01-15T00:00:00.000,17,7,5831.52,3,17494.56
2025-01-02T00:00:00.000,14,7,3591.14,2,7182.28
2024-01-05T00:00:00.000,24,7,1824.62,1,1824.62
2025-01-17T00:00:00.000,4,5,449.67,3,1349.01
2025-01-01T00:00:00.000,1,10,3694.11,3,11082.33
2025-01-16T00:00:00.000,29,4,1474.60,1,1474.60
2025-01-28T00:00:00.000,11,4,1621.62,1,1621.62
2025-01-23T00:00:00.000,11,6,509.23,1,509.23
2026-01-07T00:00:00.000,28,4,4375.95,3,13127.85
2025-01-03T00:00:00.000,4,6,1441.35,3,4324.05
2026-01-01T00:00:00.000,24,5,501.15,3,1503.45
2025-01-24T00:00:00.000,22,7,1933.65,1,1933.65
2025-01-10T00:00:00.000,3,2,7024.41,3,21073.23
2024-01-09T00:00:00.000,24,4,3476.46,2,6952.92
2024-01-02T00:00:00.000,8,4,1521.76,1,1521.76
2024-01-19T00:00:00.000,18,8,1018.50,3,3055.50
2025-01-22T00:00:00.000,24,10,2528.08,2,5056.16
2025-01-12T00:00:00.000,7,4,4496.49,3,13489.47
2023-01-15T00:00:00.000,15,2,5163.56,2,10327.12
2025-01-18T00:00:00.000,4,1,10206.14,2,20412.28
2024-01-04T00:00:00.000,30,7,1988.47,1,1988.47
2026-01-25T00:00:00.000,22,10,2516.82,2,5033.64
2025-01-22T00:00:00.000,13,4,4467.03,3,13401.09
2025-01-13T00:00:00.000,6,6,441.85,1,441.85
2024-01-23T00:00:00.000,17,4,5203.65,3,15610.95
2025-01-19T00:00:00.000,9,7,6687.90,3,20063.70
2025-01-19T00:00:00.000,29,8,669.54,2,1339.08
2024-01-12T00:00:00.000,3,3,7439.34,2,14878.68
2025-01-10T00:00:00.000,13,5,319.16,2,638.32
2026-01-23T00:00:00.000,23,9,1629.48,3,4888.44
2025-01-30T00:00:00.000,19,9,1744.83,3,5234.49
2024-01-29T00:00:00.000,8,6,534.95,1,534.95
2025-01-13T00:00:00.000,18,7,2145.16,1,2145.16
2026-01-04T00:00:00.000,25,1,18385.98,3,55157.94
2023-01-15T00:00:00.000,10,9,1201.28,2,2402.56
2026-01-26T00:00:00.000,20,5,158.74,1,158.74
2025-01-24T00:00:00.000,10,9,1790.46,3,5371.38
2025-01-19T00:00:00.000,9,6,1564.20,3,4692.60
2026-01-04T00:00:00.000,5,10,1548.36,1,1548.36
2025-01-11T00:00:00.000,17,7,5657.52,3,16972.56
2026-01-18T00:00:00.000,28,7,1656.08,1,1656.08
2024-01-23T00:00:00.000,3,1,10388.76,2,20777.52
2025-01-01T00:00:00.000,27,1,5389.90,1,5389.90
2025-01-01T00:00:00.000,17,9,501.35,1,501.35
2024-01-12T00:00:00.000,29,9,1145.70,2,2291.40
2025-01-09T00:00:00.000,27,10,4161.75,3,12485.25
2025-01-23T00:00:00.000,6,10,3954.69,3,11864.07
2025-01-29T00:00:00.000,15,3,3321.72,1,3321.72
2025-01-22T00:00:00.000,27,9,597.19,1,597.19
2024-01-15T00:00:00.000,12,9,1625.55,3,4876.65
2025-01-06T00:00:00.000,27,3,6745.12,2,13490.24
2025-01-07T00:00:00.000,6,7,5685.72,3,17057.16
2025-01-12T00:00:00.000,30,9,1275.82,2,2551.64
2024-01-14T00:00:00.000,29,8,992.97,3,2978.91
2025-01-15T00:00:00.000,15,10,1292.57,1,1292.57
2025-01-01T00:00:00.000,1,3,7080.68,2,14161.36
2025-01-30T00:00:00.000,29,5,450.96,3,1352.88
2025-01-03T00:00:00.000,25,1,14471.07,3,43413.21
2025-01-10T00:00:00.000,30,10,4407.27,3,13221.81
2024-01-18T00:00:00.000,18,7,1851.63,1,1851.63
2025-01-30T00:00:00.000,5,3,3945.77,1,3945.77
2023-01-02T00:00:00.000,10,2,5503.94,2,11007.88
2024-01-27T00:00:00.000,13,6,968.34,2,1936.68
2025-01-09T00:00:00.000,6,9,995.40,2,1990.80
2026-01-03T00:00:00.000,11,8,665.90,2,1331.80
2024-01-10T00:00:00.000,7,1,16445.49,3,49336.47
2025-01-31T00:00:00.000,30,1,6206.51,1,6206.51
2025-01-22T00:00:00.000,29,7,4174.38,2,8348.76
2026-01-09T00:00:00.000,23,6,1377.00,3,4131.00
2025-01-21T00:00:00.000,14,10,1506.33,1,1506.33
2024-01-28T00:00:00.000,12,7,2119.45,1,2119.45
2024-01-06T00:00:00.000,8,4,3254.26,2,6508.52
2025-01-25T00:00:00.000,9,8,416.24,1,416.24
2026-01-13T00:00:00.000,28,9,661.53,1,661.53
2025-01-05T00:00:00.000,11,2,5891.62,2,11783.24
2026-01-01T00:00:00.000,30,10,3059.02,2,6118.04
2023-01-16T00:00:00.000,21,10,4687.59,3,14062.77
2025-01-11T00:00:00.000,22,6,1671.60,3,5014.80
2026-01-13T00:00:00.000,23,6,1111.78,2,2223.56
2025-01-26T00:00:00.000,10,4,4247.85,3,12743.55
2026-01-27T00:00:00.000,23,6,545.34,1,545.34
2024-01-29T00:00:00.000,2,7,6053.10,3,18159.30
2024-01-23T00:00:00.000,17,9,1667.22,3,5001.66
2026-01-16T00:00:00.000,16,1,18880.38,3,56641.14
2025-01-18T00:00:00.000,21,5,356.90,2,713.80
2025-01-21T00:00:00.000,5,3,12865.47,3,38596.41
2026-01-14T00:00:00.000,28,3,12425.43,3,37276.29
2025-01-17T00:00:00.000,25,7,4472.48,2,8944.96
2024-01-06T00:00:00.000,13,5,521.46,3,1564.38
2024-01-11T00:00:00.000,30,4,3378.18,2,6756.36
2024-01-22T00:00:00.000,24,1,14652.27,3,43956.81
2025-01-25T00:00:00.000,7,1,4697.65,1,4697.65
2025-01-20T00:00:00.000,9,10,3169.62,2,6339.24
2025-01-03T00:00:00.000,5,6,1618.53,3,4855.59
2025-01-28T00:00:00.000,6,4,2907.74,2,5815.48
2025-01-24T00:00:00.000,24,6,915.48,2,1830.96
2024-01-07T00:00:00.000,18,4,1614.24,1,1614.24
2025-01-26T00:00:00.000,4,3,7459.82,2,14919.64
2023-01-31T00:00:00.000,3,7,5892.48,3,17677.44
2025-01-26T00:00:00.000,11,3,3337.09,1,3337.09
2025-01-15T00:00:00.000,12,4,1795.04,1,1795.04
2025-01-02T00:00:00.000,21,6,1121.10,2,2242.20
2025-01-03T00:00:00.000,9,4,4118.67,3,12356.01
2026-01-12T00:00:00.000,11,7,3460.82,2,6921.64
2024-01-07T00:00:00.000,30,3,6691.56,2,13383.12
2025-01-11T00:00:00.000,13,8,705.16,2,1410.32
2025-01-30T00:00:00.000,24,5,316.22,2,632.44
2026-01-25T00:00:00.000,21,10,4337.37,3,13012.11
2024-01-10T00:00:00.000,10,2,4959.32,2,9918.64
2026-01-05T00:00:00.000,20,2,7273.47,3,21820.41
2025-01-25T00:00:00.000,22,2,9234.00,3,27702.00
2026-01-20T00:00:00.000,20,3,10848.75,3,32546.25
2026-01-11T00:00:00.000,23,6,586.70,1,586.70
2025-01-10T00:00:00.000,25,5,159.73,1,159.73
2024-01-15T00:00:00.000,24,6,1110.78,2,2221.56
2025-01-28T00:00:00.000,19,8,778.98,2,1557.96
2025-01-03T00:00:00.000,6,8,1059.03,3,3177.09
2026-01-26T00:00:00.000,26,5,412.14,3,1236.42
2026-01-23T00:00:00.000,19,8,1027.86,3,3083.58
2026-01-03T00:00:00.000,28,2,4738.76,2,9477.52
2025-01-25T00:00:00.000,16,8,1187.22,3,3561.66
2025-01-07T00:00:00.000,29,9,1076.62,2,2153.24
2025-01-20T00:00:00.000,14,5,299.30,2,598.60
2026-01-24T00:00:00.000,3,6,1380.00,3,4140.00
2026-01-25T00:00:00.000,26,4,1777.89,1,1777.89
2025-01-04T00:00:00.000,17,3,7470.50,2,14941.00
2026-01-28T00:00:00.000,12,3,7915.30,2,15830.60
2025-01-24T00:00:00.000,5,7,5498.46,3,16495.38
2024-01-05T00:00:00.000,7,4,1563.51,1,1563.51
2025-01-29T00:00:00.000,28,4,3396.64,2,6793.28
2025-01-12T00:00:00.000,7,3,12508.41,3,37525.23
2026-01-21T00:00:00.000,27,2,4625.90,2,9251.80
2025-01-21T00:00:00.000,18,5,134.21,1,134.21
2024-01-03T00:00:00.000,18,1,18768.78,3,56306.34
2023-01-25T00:00:00.000,15,4,5343.36,3,16030.08
2024-01-04T00:00:00.000,2,10,1446.32,1,1446.32
2026-01-29T00:00:00.000,28,10,4604.94,3,13814.82
2025-01-26T00:00:00.000,12,4,3226.72,2,6453.44
2025-01-23T00:00:00.000,27,6,1036.08,2,2072.16
2025-01-26T00:00:00.000,17,3,11779.77,3,35339.31
2024-01-24T00:00:00.000,19,4,1405.86,1,1405.86
2024-01-06T00:00:00.000,13,6,1404.15,3,4212.45
2023-01-08T00:00:00.000,10,3,8727.02,2,17454.04
2025-01-15T00:00:00.000,14,10,3143.34,2,6286.68
2025-01-17T00:00:00.000,21,9,1776.81,3,5330.43
2024-01-01T00:00:00.000,29,9,621.10,1,621.10
2025-01-09T00:00:00.000,16,7,4022.80,2,8045.60
2025-01-13T00:00:00.000,11,7,1970.79,1,1970.79
2024-01-16T00:00:00.000,17,10,2592.06,2,5184.12
2025-01-23T00:00:00.000,7,4,4917.75,3,14753.25
2026-01-25T00:00:00.000,20,6,939.04,2,1878.08
2025-01-11T00:00:00.000,4,7,3692.24,2,7384.48
2025-01-18T00:00:00.000,22,4,5243.34,3,15730.02
2026-01-25T00:00:00.000,20,10,1590.07,1,1590.07
2023-01-28T00:00:00.000,10,6,1459.44,3,4378.32
2024-01-31T00:00:00.000,8,4,1322.76,1,1322.76
2025-01-06T00:00:00.000,10,2,4658.04,2,9316.08
2026-01-03T00:00:00.000,8,4,1449.27,1,1449.27
2024-01-29T00:00:00.000,19,10,2970.26,2,5940.52
2023-01-27T00:00:00.000,15,6,481.02,1,481.02
2025-01-05T00:00:00.000,10,6,540.12,1,540.12
2026-01-22T00:00:00.000,28,2,5416.20,2,10832.40
2026-01-05T00:00:00.000,20,9,1231.70,2,2463.40
2024-01-27T00:00:00.000,30,2,7660.11,3,22980.33
2026-01-10T00:00:00.000,20,10,3020.78,2,6041.56
2025-01-20T00:00:00.000,14,10,3915.51,3,11746.53
2025-01-10T00:00:00.000,30,1,13998.81,3,41996.43
2024-01-18T00:00:00.000,21,10,2928.76,2,5857.52
2025-01-19T00:00:00.000,24,5,343.04,2,686.08
2025-01-24T00:00:00.000,6,9,649.86,1,649.86
2025-01-23T00:00:00.000,1,7,6478.29,3,19434.87
2025-01-13T00:00:00.000,8,1,5468.38,1,5468.38
2024-01-08T00:00:00.000,18,1,5460.95,1,5460.95
2024-01-18T00:00:00.000,15,4,3418.08,2,6836.16
2026-01-13T00:00:00.000,22,9,666.85,1,666.85
2026-01-04T00:00:00.000,23,9,661.83,1,661.83
2025-01-26T00:00:00.000,4,1,6044.14,1,6044.14
2025-01-15T00:00:00.000,30,4,1653.19,1,1653.19
2026-01-09T00:00:00.000,6,2,2864.26,1,2864.26
2025-01-24T00:00:00.000,29,7,5707.41,3,17122.23
2025-01-30T00:00:00.000,11,3,7501.54,2,15003.08
2024-01-26T00:00:00.000,13,3,3314.48,1,3314.48
2025-01-17T00:00:00.000,11,5,312.44,2,624.88
2025-01-01T00:00:00.000,4,3,11069.19,3,33207.57
2025-01-10T00:00:00.000,22,6,506.75,1,506.75
2023-01-13T00:00:00.000,30,3,4349.11,1,4349.11
2025-01-04T00:00:00.000,29,4,2675.02,2,5350.04
2026-01-11T00:00:00.000,23,3,10309.71,3,30929.13
2025-01-15T00:00:00.000,9,9,1860.48,3,5581.44
2026-01-03T00:00:00.000,23,9,598.13,1,598.13
2025-01-17T00:00:00.000,7,8,1035.93,3,3107.79
2025-01-26T00:00:00.000,17,3,7786.00,2,15572.00
2024-01-31T00:00:00.000,15,1,9539.06,2,19078.12
2024-01-08T00:00:00.000,19,8,1098.66,3,3295.98
2025-01-26T00:00:00.000,6,8,720.18,2,1440.36
2026-01-02T00:00:00.000,6,10,4868.25,3,14604.75
2024-01-30T00:00:00.000,15,10,4588.53,3,13765.59
2025-01-25T00:00:00.000,5,1,9897.28,2,19794.56
2025-01-12T00:00:00.000,25,8,1069.62,3,3208.86
2024-01-22T00:00:00.000,3,1,12109.72,2,24219.44
2026-01-02T00:00:00.000,20,4,1776.70,1,1776.70
2025-01-01T00:00:00.000,11,2,4863.10,2,9726.20
2025-01-16T00:00:00.000,4,5,167.62,1,167.62
2025-01-11T00:00:00.000,11,3,3328.51,1,3328.51
2024-01-20T00:00:00.000,18,2,6113.72,2,12227.44
2025-01-13T00:00:00.000,29,3,3550.58,1,3550.58
2025-01-04T00:00:00.000,14,8,362.75,1,362.75
2025-01-28T00:00:00.000,4,8,1275.06,3,3825.18
2025-01-28T00:00:00.000,28,6,527.62,1,527.62
2025-01-02T00:00:00.000,6,4,1462.16,1,1462.16
2025-01-24T00:00:00.000,17,10,1357.77,1,1357.77
2025-01-02T00:00:00.000,15,2,9068.67,3,27206.01
2025-01-01T00:00:00.000,4,10,2769.52,2,5539.04
2025-01-11T00:00:00.000,22,6,1138.00,2,2276.00
2024-01-02T00:00:00.000,24,2,5596.10,2,11192.20
2026-01-14T00:00:00.000,20,3,8660.88,2,17321.76
2025-01-05T00:00:00.000,24,9,621.97,1,621.97
2026-01-26T00:00:00.000,28,5,404.34,3,1213.02
2025-01-12T00:00:00.000,12,5,275.82,2,551.64
2026-01-10T00:00:00.000,4,3,8883.56,2,17767.12
2025-01-23T00:00:00.000,10,3,13400.73,3,40202.19
2025-01-13T00:00:00.000,17,3,7736.52,2,15473.04
2025-01-18T00:00:00.000,22,9,607.49,1,607.49
2024-01-27T00:00:00.000,24,10,1505.40,1,1505.40
2024-01-30T00:00:00.000,24,3,4150.89,1,4150.89
2023-01-08T00:00:00.000,10,8,1039.50,3,3118.50
2025-01-28T00:00:00.000,1,8,1167.09,3,3501.27
2026-01-07T00:00:00.000,28,7,5273.37,3,15820.11
2025-01-27T00:00:00.000,7,1,5858.78,1,5858.78
2024-01-21T00:00:00.000,10,3,11508.39,3,34525.17
2023-01-25T00:00:00.000,30,4,1500.18,1,1500.18
2026-01-14T00:00:00.000,2,3,12909.09,3,38727.27
2025-01-17T00:00:00.000,7,2,3039.76,1,3039.76
2026-01-13T00:00:00.000,25,4,5219.61,3,15658.83
2025-01-04T00:00:00.000,13,1,9613.90,2,19227.80
2026-01-24T00:00:00.000,11,8,402.19,1,402.19
2025-01-20T00:00:00.000,8,6,440.29,1,440.29
2025-01-02T00:00:00.000,29,1,11819.38,2,23638.76
2025-01-20T00:00:00.000,19,9,1529.07,3,4587.21
2025-01-23T00:00:00.000,2,7,6144.84,3,18434.52
2025-01-17T00:00:00.000,3,4,1589.20,1,1589.20
2025-01-11T00:00:00.000,10,9,672.27,1,672.27
2025-01-11T00:00:00.000,15,2,5903.44,2,11806.88
2025-01-20T00:00:00.000,27,2,6253.14,2,12506.28
2025-01-05T00:00:00.000,4,7,5440.89,3,16322.67
2025-01-26T00:00:00.000,22,5,519.57,3,1558.71
2024-01-07T00:00:00.000,29,9,538.54,1,538.54
2026-01-08T00:00:00.000,22,4,2658.78,2,5317.56
2025-01-11T00:00:00.000,11,8,1061.13,3,3183.39
2025-01-22T00:00:00.000,27,6,1560.51,3,4681.53
2026-01-22T00:00:00.000,28,7,3479.46,2,6958.92
2026-01-16T00:00:00.000,20,6,1144.46,2,2288.92
2025-01-27T00:00:00.000,3,6,493.88,1,493.88
2024-01-24T00:00:00.000,29,7,3461.36,2,6922.72
2026-01-20T00:00:00.000,14,7,5675.85,3,17027.55
2025-01-02T00:00:00.000,22,1,14603.79,3,43811.37
2025-01-22T00:00:00.000,17,7,6194.82,3,18584.46
2026-01-05T00:00:00.000,8,4,1468.22,1,1468.22
2025-01-25T00:00:00.000,9,6,512.52,1,512.52
2026-01-20T00:00:00.000,5,6,1608.03,3,4824.09
2025-01-29T00:00:00.000,3,6,994.00,2,1988.00
2025-01-10T00:00:00.000,30,1,5838.00,1,5838.00
2025-01-27T00:00:00.000,4,4,3440.78,2,6881.56
2025-01-20T00:00:00.000,25,1,11016.16,2,22032.32
2026-01-03T00:00:00.000,20,7,4017.42,2,8034.84
2026-01-30T00:00:00.000,25,7,1657.17,1,1657.17
2026-01-04T00:00:00.000,29,7,6197.01,3,18591.03
2025-01-28T00:00:00.000,21,8,1101.21,3,3303.63
2024-01-10T00:00:00.000,21,8,1321.26,3,3963.78
2025-01-16T00:00:00.000,15,8,1069.41,3,3208.23
2025-01-17T00:00:00.000,1,8,342.41,1,342.41
2024-01-04T00:00:00.000,17,6,1423.44,3,4270.32
2025-01-27T00:00:00.000,14,10,1534.92,1,1534.92
2024-01-29T00:00:00.000,29,9,1225.46,2,2450.92
2025-01-08T00:00:00.000,11,6,1539.24,3,4617.72
2026-01-26T00:00:00.000,1,10,4729.20,3,14187.60
2026-01-10T00:00:00.000,6,2,7494.39,3,22483.17
2026-01-02T00:00:00.000,26,6,1732.89,3,5198.67
2026-01-25T00:00:00.000,26,5,347.42,2,694.84
2026-01-06T00:00:00.000,16,4,1414.11,1,1414.11
2024-01-22T00:00:00.000,15,1,5357.05,1,5357.05
2025-01-18T00:00:00.000,25,5,316.06,2,632.12
2026-01-22T00:00:00.000,4,4,3373.78,2,6747.56
2025-01-30T00:00:00.000,23,2,7989.45,3,23968.35
2025-01-09T00:00:00.000,9,1,12450.24,2,24900.48
2026-01-13T00:00:00.000,20,5,486.39,3,1459.17
2026-01-23T00:00:00.000,25,10,4418.61,3,13255.83
2026-01-04T00:00:00.000,5,10,3294.26,2,6588.52
2026-01-05T00:00:00.000,22,7,1752.74,1,1752.74
2024-01-24T00:00:00.000,3,1,15941.07,3,47823.21
2026-01-13T00:00:00.000,6,10,1324.38,1,1324.38
2025-01-10T00:00:00.000,6,2,4811.54,2,9623.08
2024-01-11T00:00:00.000,21,4,3089.22,2,6178.44
2025-01-13T00:00:00.000,14,3,9926.76,3,29780.28
2024-01-23T00:00:00.000,12,7,2121.15,1,2121.15
2025-01-13T00:00:00.000,18,6,1792.47,3,5377.41
2024-01-28T00:00:00.000,7,2,5768.32,2,11536.64
2025-01-28T00:00:00.000,27,4,3576.04,2,7152.08
2025-01-13T00:00:00.000,14,3,8733.32,2,17466.64
2025-01-19T00:00:00.000,10,4,5052.99,3,15158.97
2025-01-24T00:00:00.000,27,2,2462.76,1,2462.76
2026-01-01T00:00:00.000,28,8,770.68,2,1541.36
2026-01-18T00:00:00.000,20,5,466.77,3,1400.31
2023-01-07T00:00:00.000,3,7,3948.02,2,7896.04
2026-01-10T00:00:00.000,13,4,3483.84,2,6967.68
2026-01-01T00:00:00.000,26,10,1584.19,1,1584.19
2024-01-03T00:00:00.000,21,8,819.18,2,1638.36
2025-01-14T00:00:00.000,9,9,569.63,1,569.63
2025-01-02T00:00:00.000,4,6,518.31,1,518.31
2026-01-02T00:00:00.000,8,2,3023.96,1,3023.96
2025-01-16T00:00:00.000,5,3,3688.30,1,3688.30
2025-01-11T00:00:00.000,16,5,297.04,2,594.08
2026-01-01T00:00:00.000,26,3,7226.00,2,14452.00
2024-01-13T00:00:00.000,24,8,866.14,2,1732.28
2025-01-13T00:00:00.000,6,6,985.28,2,1970.56
2025-01-24T00:00:00.000,7,10,3068.78,2,6137.56
2025-01-14T00:00:00.000,16,4,1580.49,1,1580.49
2025-01-20T00:00:00.000,3,7,5530.83,3,16592.49
2025-01-19T00:00:00.000,15,6,498.39,1,498.39
2024-01-31T00:00:00.000,30,7,6744.93,3,20234.79
2025-01-07T00:00:00.000,19,8,430.20,1,430.20
2025-01-24T00:00:00.000,5,10,1242.99,1,1242.99
2025-01-10T00:00:00.000,19,7,6698.28,3,20094.84
2025-01-06T00:00:00.000,25,5,174.85,1,174.85
2025-01-23T00:00:00.000,1,1,5472.84,1,5472.84
2025-01-28T00:00:00.000,17,2,4745.10,2,9490.20
2023-01-10T00:00:00.000,15,7,4039.12,2,8078.24
2026-01-20T00:00:00.000,23,8,425.45,1,425.45
2024-01-19T00:00:00.000,29,2,6171.92,2,12343.84
2025-01-18T00:00:00.000,1,3,12524.64,3,37573.92
2025-01-20T00:00:00.000,21,1,14211.00,3,42633.00
2026-01-28T00:00:00.000,26,9,1066.46,2,2132.92
2025-01-29T00:00:00.000,9,8,890.92,2,1781.84
2026-01-26T00:00:00.000,26,4,1720.36,1,1720.36
2025-01-20T00:00:00.000,11,8,1150.41,3,3451.23
2026-01-05T00:00:00.000,28,1,14028.66,3,42085.98
2025-01-28T00:00:00.000,10,10,1253.80,1,1253.80
2024-01-05T00:00:00.000,30,10,2627.14,2,5254.28
2025-01-18T00:00:00.000,4,6,1532.46,3,4597.38
2025-01-02T00:00:00.000,4,2,6942.87,3,20828.61
2025-01-10T00:00:00.000,27,6,1189.90,2,2379.80
2023-01-23T00:00:00.000,30,3,11282.85,3,33848.55
2026-01-21T00:00:00.000,23,1,11526.34,2,23052.68
2025-01-02T00:00:00.000,19,6,893.76,2,1787.52
2025-01-06T00:00:00.000,6,1,9348.60,2,18697.20
2024-01-13T00:00:00.000,3,4,1654.95,1,1654.95
2025-01-19T00:00:00.000,17,9,995.80,2,1991.60
2024-01-03T00:00:00.000,8,10,2440.34,2,4880.68
2026-01-24T00:00:00.000,23,6,981.64,2,1963.28
2025-01-19T00:00:00.000,10,9,1792.29,3,5376.87
2025-01-21T00:00:00.000,11,10,1639.86,1,1639.86
2024-01-22T00:00:00.000,3,2,5235.64,2,10471.28
2024-01-17T00:00:00.000,29,7,1751.76,1,1751.76
2025-01-20T00:00:00.000,9,4,3999.00,3,11997.00
2025-01-30T00:00:00.000,1,3,11685.21,3,35055.63
2026-01-25T00:00:00.000,11,8,787.62,2,1575.24
2025-01-15T00:00:00.000,16,5,147.94,1,147.94
2025-01-15T00:00:00.000,27,5,480.60,3,1441.80
2025-01-17T00:00:00.000,4,3,10461.99,3,31385.97
2025-01-12T00:00:00.000,27,3,10485.27,3,31455.81
